Designator,"Mid X","Mid Y",Rotation,Layer
"C1",2.200000,30.200000,180.000000,top
"C2",7.000000,37.800000,270.000000,top
"C3",-7.000000,19.200000,270.000000,top
"D1",-4.200000,45.050000,180.000000,top
"D2",-4.200000,42.000000,180.000000,top
"J1",0.000000,-3.200000,270.000000,top
"R1",-0.350000,45.050000,0.000000,top
"R2",-0.350000,42.000000,0.000000,top
"R3",-1.750000,30.200000,180.000000,top
"R4",-7.000000,22.350000,90.000000,top
"R5",-1.850000,23.400000,0.000000,top
"R6",-11.650000,53.600000,180.000000,top
"R7",-16.850000,53.600000,180.000000,top
"U1",1.250000,36.050000,0.000000,top
"U2",-2.700000,19.600000,0.000000,top
"U3",2.600000,19.600000,0.000000,top
