Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805",2.200000,30.200000,180.000000,top
"C2","10uF","C_0805",7.000000,37.800000,270.000000,top
"C3","0.1uF","C_0402",-7.000000,19.200000,270.000000,top
"D1","STBY","LED_0805",-4.200000,45.050000,180.000000,top
"D2","CHRG","LED_0603",-4.200000,42.000000,180.000000,top
"J1","uUSB","LCSC-C10418-USB-uB",0.000000,-3.200000,270.000000,top
"R1","1000R","R_0603",-0.350000,45.050000,0.000000,top
"R2","1000R","R_0603",-0.350000,42.000000,0.000000,top
"R3","2000R","R_0805",-1.750000,30.200000,180.000000,top
"R4","100R","R_0805",-7.000000,22.350000,90.000000,top
"R5","2000R","R_0805",-1.850000,23.400000,0.000000,top
"R6","3900R","R_0805",-11.650000,53.600000,180.000000,top
"R7","1000R","R_0603",-16.850000,53.600000,180.000000,top
"U1","TP4056","LCSC-C16581-TP4056-ESOP-8",1.250000,36.050000,0.000000,top
"U2","DW01+G","SOT-23-6-LCSC",-2.700000,19.600000,0.000000,top
"U3","FS8205","SOT-23-6-LCSC",2.600000,19.600000,0.000000,top
